PicoQuant FluoFit 4.6.5.0
Saved : 5/21/2025 12:47:27 PM

Repeated with correct IRF

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #0 Decay:
"\..\tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"\..\irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 0.8238 ; Fitted Data Points: 3766

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    5.9692       1427    5.1370        392    5.9692   1352.556    5.9692      1.971
    5.9814       1388    5.1492        371    5.9814   1349.638    5.9814      1.030
    5.9937       1344    5.1615        376    5.9937   1346.770    5.9937     -0.076
    6.0059       1391    5.1737        368    6.0059   1343.867    6.0059      1.264
    6.0181       1282    5.1859        367    6.0181   1340.937    6.0181     -1.646
    6.0303       1376    5.1981        388    6.0303   1338.024    6.0303      1.024
    6.0425       1298    5.2103        361    6.0425   1335.154    6.0425     -1.031
    6.0547       1341    5.2225        333    6.0547   1332.229    6.0547      0.240
    6.0669       1324    5.2347        323    6.0669   1329.338    6.0669     -0.147
    6.0791       1317    5.2469        296    6.0791   1326.430    6.0791     -0.260
    6.0913       1345    5.2591        272    6.0913   1323.576    6.0913      0.584
    6.1035       1340    5.2713        301    6.1035   1320.704    6.1035      0.527
    6.1157       1359    5.2835        252    6.1157   1317.801    6.1157      1.118
    6.1279       1300    5.2957        255    6.1279   1314.894    6.1279     -0.413
    6.1401       1282    5.3079        197    6.1401   1312.025    6.1401     -0.839
    6.1523       1316    5.3201        166    6.1523   1309.145    6.1523      0.189
    6.1646       1336    5.3324        110    6.1646   1306.271    6.1646      0.813
    6.1768       1259    5.3446         91    6.1768   1303.403    6.1768     -1.251
    6.1890       1270    5.3568         74    6.1890   1300.549    6.1890     -0.857
    6.2012       1278    5.3690         75    6.2012   1297.731    6.2012     -0.552
    6.2134       1293    5.3812         69    6.2134   1294.907    6.2134     -0.053
    6.2256       1345    5.3934         74    6.2256   1292.098    6.2256      1.442
    6.2378       1306    5.4056         64    6.2378   1289.262    6.2378      0.463
    6.2500       1294    5.4178         47    6.2500   1286.432    6.2500      0.210
    6.2622       1304    5.4300         50    6.2622   1283.619    6.2622      0.564
    6.2744       1273    5.4422         56    6.2744   1280.856    6.2744     -0.220
    6.2866       1303    5.4544         37    6.2866   1278.068    6.2866      0.691
    6.2988       1300    5.4666         38    6.2988   1275.297    6.2988      0.685
    6.3110       1313    5.4788         50    6.3110   1272.501    6.3110      1.118
    6.3232       1268    5.4910         40    6.3232   1269.722    6.3232     -0.048
    6.3354       1326    5.5033         31    6.3354   1266.925    6.3354      1.622
    6.3477       1236    5.5155         28    6.3477   1264.175    6.3477     -0.801
    6.3599       1287    5.5277         26    6.3599   1261.384    6.3599      0.714
    6.3721       1311    5.5399         22    6.3721   1258.619    6.3721      1.447
    6.3843       1193    5.5521         34    6.3843   1255.877    6.3843     -1.820
    6.3965       1254    5.5643         20    6.3965   1253.134    6.3965      0.024
    6.4087       1257    5.5765         33    6.4087   1250.364    6.4087      0.187
    6.4209       1233    5.5887         34    6.4209   1247.599    6.4209     -0.416
    6.4331       1252    5.6009         20    6.4331   1244.841    6.4331      0.202
    6.4453       1227    5.6131         26    6.4453   1242.089    6.4453     -0.431
    6.4575       1169    5.6253         23    6.4575   1239.350    6.4575     -2.058
    6.4697       1255    5.6375         28    6.4697   1236.644    6.4697      0.518
    6.4819       1228    5.6497         23    6.4819   1233.910    6.4819     -0.169
    6.4941       1241    5.6619         18    6.4941   1231.182    6.4941      0.279
    6.5063       1211    5.6741         16    6.5063   1228.460    6.5063     -0.502
    6.5186       1214    5.6864         13    6.5186   1225.744    6.5186     -0.337
    6.5308       1158    5.6986         19    6.5308   1223.034    6.5308     -1.911
    6.5430       1248    5.7108         11    6.5430   1220.333    6.5430      0.783
    6.5552       1228    5.7230         17    6.5552   1217.652    6.5552      0.295
    6.5674       1175    5.7352         11    6.5674   1214.960    6.5674     -1.166
    6.5796       1281    5.7474          8    6.5796   1212.274    6.5796      1.920
    6.5918       1209    5.7596         12    6.5918   1209.594    6.5918     -0.017
    6.6040       1174    5.7718         11    6.6040   1206.920    6.6040     -0.961
