PicoQuant FluoFit-style Python Export
Saved : 09/11/2026 12:53:04 PM

Python 1-exponential reconvolution fit

Model: Exp. [Reconv.] (1 Exponential Components)
Plotted Data Set #0 Decay:
"tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 1.0275 ; Fitted Data Points: 3915

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    1.818848           0    1.818848           0    1.818848      0.0189    1.818848     -0.0189
    1.831055           0    1.831055           0    1.831055      0.0189    1.831055     -0.0189
    1.843262           0    1.843262           0    1.843262      0.0188    1.843262     -0.0188
    1.855469           0    1.855469           0    1.855469      0.0188    1.855469     -0.0188
    1.867676           0    1.867676           0    1.867676      0.0187    1.867676     -0.0187
    1.879883           0    1.879883           0    1.879883      0.0187    1.879883     -0.0187
    1.892090           0    1.892090           0    1.892090      0.0187    1.892090     -0.0187
    1.904297           0    1.904297           0    1.904297      0.0186    1.904297     -0.0186
    1.916504           0    1.916504           0    1.916504      0.0186    1.916504     -0.0186
    1.928711           0    1.928711           0    1.928711      0.0185    1.928711     -0.0185
    1.940918           0    1.940918           0    1.940918      0.0185    1.940918     -0.0185
    1.953125           0    1.953125           0    1.953125      0.0185    1.953125     -0.0185
    1.965332           0    1.965332           0    1.965332      0.0184    1.965332     -0.0184
    1.977539           0    1.977539           0    1.977539      0.0184    1.977539     -0.0184
    1.989746           0    1.989746           0    1.989746      0.0183    1.989746     -0.0183
    2.001953           0    2.001953           0    2.001953      0.0183    2.001953     -0.0183
    2.014160           0    2.014160           0    2.014160      0.0183    2.014160     -0.0183
    2.026367           0    2.026367           0    2.026367      0.0182    2.026367     -0.0182
    2.038574           0    2.038574           0    2.038574      0.0182    2.038574     -0.0182
    2.050781           0    2.050781           0    2.050781      0.0181    2.050781     -0.0181
    2.062988           0    2.062988           0    2.062988      0.0181    2.062988     -0.0181
    2.075195           0    2.075195           0    2.075195      0.0181    2.075195     -0.0181
    2.087402           0    2.087402           0    2.087402      0.0180    2.087402     -0.0180
    2.099609           0    2.099609           0    2.099609      0.0180    2.099609     -0.0180
    2.111816           0    2.111816           0    2.111816      0.0179    2.111816     -0.0179
    2.124023           0    2.124023           0    2.124023      0.0179    2.124023     -0.0179
    2.136230           0    2.136230           0    2.136230      0.0179    2.136230     -0.0179
    2.148438           0    2.148438           0    2.148438      0.0178    2.148438     -0.0178
    2.160645           0    2.160645           0    2.160645      0.0178    2.160645     -0.0178
    2.172852           0    2.172852           0    2.172852      0.0177    2.172852     -0.0177
    2.185059           0    2.185059           0    2.185059      0.0177    2.185059     -0.0177
    2.197266           0    2.197266           0    2.197266      0.0177    2.197266     -0.0177
    2.209473           1    2.209473           0    2.209473      0.0176    2.209473      0.9824
    2.221680           0    2.221680           0    2.221680      0.0176    2.221680     -0.0176
    2.233887           0    2.233887           0    2.233887      0.0175    2.233887     -0.0175
    2.246094           0    2.246094           0    2.246094      0.0175    2.246094     -0.0175
    2.258301           0    2.258301           0    2.258301      0.0175    2.258301     -0.0175
    2.270508           0    2.270508           0    2.270508      0.0210    2.270508     -0.0210
    2.282715           0    2.282715           0    2.282715      0.0379    2.282715     -0.0379
    2.294922           0    2.294922           0    2.294922      0.0413    2.294922     -0.0413
    2.307129           0    2.307129           0    2.307129      0.0582    2.307129     -0.0582
    2.319336           0    2.319336           1    2.319336      0.0581    2.319336     -0.0581
    2.331543           0    2.331543           0    2.331543      0.0579    2.331543     -0.0579
    2.343750           0    2.343750           1    2.343750      0.0578    2.343750     -0.0578
    2.355957           0    2.355957           0    2.355957      0.0577    2.355957     -0.0577
    2.368164           0    2.368164           0    2.368164      0.0575    2.368164     -0.0575
    2.380371           0    2.380371           0    2.380371      0.0574    2.380371     -0.0574
    2.392578           0    2.392578           0    2.392578      0.0573    2.392578     -0.0573
    2.404785           0    2.404785           0    2.404785      0.0572    2.404785     -0.0572
    2.416992           0    2.416992           0    2.416992      0.0570    2.416992     -0.0570
    2.429199           0    2.429199           0    2.429199      0.0569    2.429199     -0.0569
    2.441406           0    2.441406           0    2.441406      0.0568    2.441406     -0.0568
    2.453613           0    2.453613           0    2.453613      0.0567    2.453613     -0.0567
    2.465820           0    2.465820           0    2.465820      0.0565    2.465820     -0.0565
    2.478027           0    2.478027           0    2.478027      0.0564    2.478027     -0.0564
    2.490234           0    2.490234           0    2.490234      0.0563    2.490234     -0.0563
    2.502441           0    2.502441           0    2.502441      0.0562    2.502441     -0.0562
    2.514648           0    2.514648           0    2.514648      0.0560    2.514648     -0.0560
    2.526855           0    2.526855           0    2.526855      0.0559    2.526855     -0.0559
    2.539063           0    2.539063           0    2.539063      0.0558    2.539063     -0.0558
    2.551270           0    2.551270           0    2.551270      0.0557    2.551270     -0.0557
    2.563477           1    2.563477           0    2.563477      0.0555    2.563477      0.9445
    2.575684           0    2.575684           0    2.575684      0.0554    2.575684     -0.0554
    2.587891           0    2.587891           0    2.587891      0.0553    2.587891     -0.0553
    2.600098           0    2.600098           0    2.600098      0.0552    2.600098     -0.0552
    2.612305           0    2.612305           0    2.612305      0.0551    2.612305     -0.0551
    2.624512           0    2.624512           0    2.624512      0.0549    2.624512     -0.0549
    2.636719           0    2.636719           0    2.636719      0.0548    2.636719     -0.0548
    2.648926           0    2.648926           0    2.648926      0.0547    2.648926     -0.0547
    2.661133           0    2.661133           0    2.661133      0.0546    2.661133     -0.0546
    2.673340           0    2.673340           0    2.673340      0.0544    2.673340     -0.0544
    2.685547           0    2.685547           0    2.685547      0.0543    2.685547     -0.0543
    2.697754           0    2.697754           0    2.697754      0.0542    2.697754     -0.0542
    2.709961           0    2.709961           0    2.709961      0.0541    2.709961     -0.0541
    2.722168           0    2.722168           0    2.722168      0.0540    2.722168     -0.0540
    2.734375           0    2.734375           0    2.734375      0.0538    2.734375     -0.0538
    2.746582           0    2.746582           0    2.746582      0.0537    2.746582     -0.0537
    2.758789           0    2.758789           0    2.758789      0.0536    2.758789     -0.0536
    2.770996           0    2.770996           0    2.770996      0.0535    2.770996     -0.0535
    2.783203           0    2.783203           0    2.783203      0.0534    2.783203     -0.0534
